Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7338537970191625,0.4991304347826087,0.767379679144385,0.6048472075869337,0.826690175411403
Random Forest,0.7324343506032647,0.49678800856531047,0.6203208556149733,0.5517241379310345,0.7904453744607198
XGBoost,0.7416607523066004,0.510548523206751,0.6470588235294118,0.5707547169811321,0.7995311167945439
